Gene ID	Symbol	Name
1026	CDKN1A	cyclin dependent kinase inhibitor 1A
1027	CDKN1B	cyclin dependent kinase inhibitor 1B
1029	CDKN2A	cyclin dependent kinase inhibitor 2A
3845	KRAS	KRAS proto-oncogene, GTPase
4101	MAGEA2	MAGE family member A2
4869	NPM1	nucleophosmin 1
1030	CDKN2B	cyclin dependent kinase inhibitor 2B
83719	YPEL3	yippee like 3
407040	MIR34A	microRNA 34a
6926	TBX3	T-box transcription factor 3
6416	MAP2K4	mitogen-activated protein kinase kinase 4
10000	AKT3	AKT serine/threonine kinase 3
10769	PLK2	polo like kinase 2
64785	GINS3	GINS complex subunit 3
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
51225	ABI3	ABI family member 3
283	ANG	angiogenin
3611	ILK	integrin linked kinase
10524	KAT5	lysine acetyltransferase 5
10269	ZMPSTE24	zinc metallopeptidase STE24
1311	COMP	cartilage oligomeric matrix protein
10783	NEK6	NIMA related kinase 6
6688	SPI1	Spi-1 proto-oncogene
3622	ING2	inhibitor of growth family member 2
4904	YBX1	Y-box binding protein 1
811	CALR	calreticulin
26156	RSL1D1	ribosomal L1 domain containing 1
5933	RBL1	RB transcriptional corepressor like 1
7471	WNT1	Wnt family member 1
9521	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1
567	B2M	beta-2-microglobulin
25913	POT1	protection of telomeres 1
7994	KAT6A	lysine acetyltransferase 6A
79677	SMC6	structural maintenance of chromosomes 6
115004	CGAS	cyclic GMP-AMP synthase
3133	HLA-E	major histocompatibility complex, class I, E
7486	WRN	WRN RecQ like helicase
22846	VASH1	vasohibin 1
3134	HLA-F	major histocompatibility complex, class I, F
3135	HLA-G	major histocompatibility complex, class I, G
6722	SRF	serum response factor
3398	ID2	inhibitor of DNA binding 2
2643	GCH1	GTP cyclohydrolase 1
23636	NUP62	nucleoporin 62
7764	ZNF217	zinc finger protein 217
3159	HMGA1	high mobility group AT-hook 1
574032	MIR20B	microRNA 20b
857	CAV1	caveolin 1
57178	ZMIZ1	zinc finger MIZ-type containing 1
604	BCL6	BCL6 transcription repressor
51548	SIRT6	sirtuin 6
5728	PTEN	phosphatase and tensin homolog
406886	MIRLET7D	microRNA let-7d
23137	SMC5	structural maintenance of chromosomes 5
286053	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase
7012	TERC	telomerase RNA component
7014	TERF2	telomeric repeat binding factor 2
8550	MAPKAPK5	MAPK activated protein kinase 5
7015	TERT	telomerase reverse transcriptase
406890	MIRLET7G	microRNA let-7g
406888	MIRLET7F1	microRNA let-7f-1
406889	MIRLET7F2	microRNA let-7f-2
4976	OPA1	OPA1 mitochondrial dynamin like GTPase
406902	MIR10A	microRNA 10a
23411	SIRT1	sirtuin 1
4726	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6
4215	MAP3K3	mitogen-activated protein kinase kinase kinase 3
4217	MAP3K5	mitogen-activated protein kinase kinase kinase 5
7291	TWIST1	twist family bHLH transcription factor 1
384	ARG2	arginase 2
10370	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
55170	PRMT6	protein arginine methyltransferase 6
6787	NEK4	NIMA related kinase 4
9093	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3
25989	ULK3	unc-51 like kinase 3
100126335	MIR543	microRNA 543
87178	PNPT1	polyribonucleotide nucleotidyltransferase 1
22925	PLA2R1	phospholipase A2 receptor 1
83596	BCL2L12	BCL2 like 12
8334	H2AC6	H2A clustered histone 6
51343	FZR1	fizzy and cell division cycle 20 related 1
657	BMPR1A	bone morphogenetic protein receptor type 1A
406	BMAL1	basic helix-loop-helix ARNT like 1
10135	NAMPT	nicotinamide phosphoribosyltransferase
1432	MAPK14	mitogen-activated protein kinase 14
8091	HMGA2	high mobility group AT-hook 2
406938	MIR146A	microRNA 146a
26271	FBXO5	F-box protein 5
4000	LMNA	lamin A/C
26272	FBXO4	F-box protein 4
675	BRCA2	BRCA2 DNA repair associated
9891	NUAK1	NUAK family kinase 1
23463	ICMT	isoprenylcysteine carboxyl methyltransferase
11179	ZNF277	zinc finger protein 277
2475	MTOR	mechanistic target of rapamycin kinase
5549	PRELP	proline and arginine rich end leucine rich repeat protein
406952	MIR17	microRNA 17
8626	TP63	tumor protein p63
6839	SUV39H1	SUV39H1 histone lysine methyltransferase
51384	WNT16	Wnt family member 16
4282	MIF	macrophage migration inhibitory factor
80317	ZKSCAN3	zinc finger with KRAB and SCAN domains 3
693175	MIR590	microRNA 590
84417	ECRG4	ECRG4 augurin precursor
3265	HRAS	HRas proto-oncogene, GTPase
3014	H2AX	H2A.X variant histone
5580	PRKCD	protein kinase C delta
406999	MIR217	microRNA 217
5074	PAWR	pro-apoptotic WT1 regulator
55766	H2AJ	H2A.J histone
5591	PRKDC	protein kinase, DNA-activated, catalytic subunit
472	ATM	ATM serine/threonine kinase
407004	MIR22	microRNA 22
23515	MORC3	MORC family CW-type zinc finger 3
3805	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
387032	ZKSCAN4	zinc finger with KRAB and SCAN domains 4
5599	MAPK8	mitogen-activated protein kinase 8
5600	MAPK11	mitogen-activated protein kinase 11
5601	MAPK9	mitogen-activated protein kinase 9
5602	MAPK10	mitogen-activated protein kinase 10
5604	MAP2K1	mitogen-activated protein kinase kinase 1
5606	MAP2K3	mitogen-activated protein kinase kinase 3
5608	MAP2K6	mitogen-activated protein kinase kinase 6
5609	MAP2K7	mitogen-activated protein kinase kinase 7
4335	MNT	MAX network transcriptional repressor
266740	MAGEA2B	MAGE family member A2B
7155	TOP2B	DNA topoisomerase II beta
7157	TP53	tumor protein p53
3064	HTT	huntingtin
1017	CDK2	cyclin dependent kinase 2
5371	PML	PML nuclear body scaffold
1021	CDK6	cyclin dependent kinase 6
6909	TBX2	T-box transcription factor 2